1,,I ___ discuss about my future plans.,17:58.8,17:58.8,1,"{rarely,sometimes,frequently}",1
2,,I ___ look for future possibilities.,17:58.8,17:58.8,1,"{rarely,sometimes,frequently}",1
3,,I am ___ about the idea of 'shaking things up'.,17:58.8,17:58.8,1,"{resistant,open,excited}",1
4,,I can imagine different posibilities in a scenario with ___ .,17:58.8,17:58.8,1,"{""with difficulty"",""in time"",""with ease""}",1
5,,I can understand the entire perspective of a situation or issue ___ .,17:58.9,17:58.9,1,"{""with difficulty"",""in time"",""with ease""}",1
6,,I am ___ in sharing my ideas and goals for the future with others.,17:58.9,17:58.9,1,"{hesitant,comfortable,passionate}",1
7,,I can visualise what I want in the future ___ .,17:58.9,17:58.9,1,"{""with difficulty"",""in time"",""with ease""}",1
8,,Communicating to others about my dreams and plans is ___ .,17:58.9,17:58.9,1,"{difficult,possible,easy}",1
9,,I am ___ to take a chance and do something new.,17:58.9,17:58.9,2,"{""not afraid"",cautious,afraid}",-1
10,,I ___ make choices when not all information is provided.,17:58.9,17:58.9,2,"{rarely,sometimes,frequently}",1
11,,"Making bold, unpopular decisions  is ___ to me.",17:59.0,17:59.0,2,"{difficult,possible,easy}",1
12,,I make decisions on high-stakes situations with ___ .,17:59.0,17:59.0,2,"{hesitation,caution,ease}",1
13,,I act on incomplete information with ___ .,17:59.0,17:59.0,2,"{hesitation,caution,ease}",1
14,,I set challenging but attainable goals with ___ .,17:59.0,17:59.0,2,"{hesitation,caution,ease}",1
15,,I ___ avoid making difficult decisions.,17:59.0,17:59.0,2,"{rarely,sometimes,frequently}",-1
16,,"I ___ take chances, if the payoff is likely to be large.",17:59.0,17:59.0,2,"{rarely,sometimes,frequently}",1
17,,I ___ feel nervous when faced with a problem with multiple solutions.,17:59.0,17:59.0,3,"{rarely,sometimes,frequently}",-1
18,,Not knowing what will heppen in the future is ___ scary to me.,17:59.0,17:59.0,3,"{extremely,""not so"",""not at all""}",1
19,,I am ___ when it comes to a diversity of viewpoints.,17:59.1,17:59.1,3,"{resistant,open,excited}",1
20,,I am ___ when it comes to a problem which does not have a single answer.,17:59.1,17:59.1,3,"{resistant,open,excited}",1
21,,I ___ find a project or assignment with no clear instructions stressful.,17:59.1,17:59.1,3,"{rarely,sometimes,frequently}",-1
22,,I find it ___ scary to be thrown into an unfamiliar situation.,17:59.1,17:59.1,3,"{extremely,""not so"",""not at all""}",1
23,,I ___ enjoy getting lost whilst traveling.,17:59.1,17:59.1,3,"{rarely,sometimes,frequently}",1
24,,Having a routine is ___ important to me functioning well.,17:59.1,17:59.1,3,"{extremely,""not so"",""not at all""}",1
25,,"I have ___ fear of embarrasment, when engaging with an important superior.",17:59.1,17:59.1,4,"{extreme,moderate,little}",1
26,,I ___ speak boldly about what I believe is right.,17:59.2,17:59.2,4,"{rarely,sometimes,frequently}",1
27,,I stand up for something I believe in with ___ .,17:59.2,17:59.2,4,"{hesitation,caution,ease}",1
28,,I express disagreement towards something with ___ .,17:59.2,17:59.2,4,"{hesitation,caution,ease}",1
29,,I find it ___ to say no to an unwanted request.,17:59.2,17:59.2,4,"{difficult,possible,""easy ""}",1
30,,I am ___ able to turn down doing a favour for someone else.,17:59.2,17:59.2,4,"{rarely,sometimes,often}",1
31,,Sticking to my guts and convictions is ___ .,17:59.2,17:59.2,4,"{difficult,possible,easy}",1
32,,Telling others exactly what I want with confidence is ___ .,17:59.2,17:59.2,4,"{difficult,possible,easy}",1
